Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,33831764,37856121
"Population, total",SP.POP.TOTL,Albania,ALB,2880703,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,40019529,43294546
"Population, total",SP.POP.TOTL,American Samoa,ASM,52878,50209
"Population, total",SP.POP.TOTL,Andorra,AND,72174,76474
"Population, total",SP.POP.TOTL,Angola,AGO,28157798,32375632
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,89409,91364
"Population, total",SP.POP.TOTL,Argentina,ARG,43477012,44973465
"Population, total",SP.POP.TOTL,Armenia,ARM,3004600,2962500
"Population, total",SP.POP.TOTL,Aruba,ABW,107906,109203
"Population, total",SP.POP.TOTL,Australia,AUS,23815995,25334826
"Population, total",SP.POP.TOTL,Austria,AUT,8642699,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9649341,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,385346,394675
"Population, total",SP.POP.TOTL,Bahrain,BHR,1370322,1483756
"Population, total",SP.POP.TOTL,Bangladesh,BGD,159383179,164913055
"Population, total",SP.POP.TOTL,Barbados,BRB,278990,281207
"Population, total",SP.POP.TOTL,Belarus,BLR,9461076,9419758
"Population, total",SP.POP.TOTL,Belgium,BEL,11274196,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,356333,385829
"Population, total",SP.POP.TOTL,Benin,BEN,11360681,12726755
"Population, total",SP.POP.TOTL,Bermuda,BMU,63464,64107
"Population, total",SP.POP.TOTL,Bhutan,BTN,740618,764824
"Population, total",SP.POP.TOTL,Bolivia,BOL,11014705,11671386
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3518541,3345533
"Population, total",SP.POP.TOTL,Botswana,BWA,2203273,2332083
"Population, total",SP.POP.TOTL,Brazil,BRA,201675532,207455459
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,34498,36395
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,422212,442680
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6984225,6616726
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18777487,20961952
"Population, total",SP.POP.TOTL,Burundi,BDI,11047580,12255336
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,512394,514104
"Population, total",SP.POP.TOTL,Cambodia,KHM,15623251,16481304
"Population, total",SP.POP.TOTL,Cameroon,CMR,22763414,25506095
"Population, total",SP.POP.TOTL,Canada,CAN,35704498,37618495
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,61642,67327
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4629320,4944703
"Population, total",SP.POP.TOTL,Chad,TCD,14647621,16685223
"Population, total",SP.POP.TOTL,Channel Islands,CHI,163454,165639
"Population, total",SP.POP.TOTL,Chile,CHL,18047625,19197744
"Population, total",SP.POP.TOTL,China,CHN,1379860000,1407745000
"Population, total",SP.POP.TOTL,Colombia,COL,46969940,49907985
"Population, total",SP.POP.TOTL,Comoros,COM,726682,786578
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,81035531,92947442
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5097581,5616661
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4818038,4999553
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,25246342,28193009
"Population, total",SP.POP.TOTL,Croatia,HRV,4151725,3949390
"Population, total",SP.POP.TOTL,Cuba,CUB,11275065,11202846
"Population, total",SP.POP.TOTL,Curacao,CUW,157980,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1219502,1286671
"Population, total",SP.POP.TOTL,Czechia,CZE,10546059,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5683483,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,1020313,1088709
"Population, total",SP.POP.TOTL,Dominica,DMA,70410,67880
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10434829,10894043
"Population, total",SP.POP.TOTL,Ecuador,ECU,16266225,17340021
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,99597342,107553158
"Population, total",SP.POP.TOTL,El Salvador,SLV,6183676,6222318
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1453923,1670177
"Population, total",SP.POP.TOTL,Eritrea,ERI,3105546,3240194
"Population, total",SP.POP.TOTL,Estonia,EST,1315407,1326898
"Population, total",SP.POP.TOTL,Ethiopia,ETH,103867135,115737383
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48901,51793
"Population, total",SP.POP.TOTL,Fiji,FJI,918578,914899
"Population, total",SP.POP.TOTL,Finland,FIN,5479531,5521606
"Population, total",SP.POP.TOTL,France,FRA,66548272,67382061
"Population, total",SP.POP.TOTL,French Polynesia,PYF,277866,279034
"Population, total",SP.POP.TOTL,Gabon,GAB,2040989,2267706
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2224529,2456844
"Population, total",SP.POP.TOTL,Georgia,GEO,3725276,3720161
"Population, total",SP.POP.TOTL,Germany,DEU,81686611,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,28696068,31258945
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33193,35494
"Population, total",SP.POP.TOTL,Greece,GRC,10820883,10721582
"Population, total",SP.POP.TOTL,Greenland,GRL,56114,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,114676,115981
"Population, total",SP.POP.TOTL,Guam,GUM,164905,161808
"Population, total",SP.POP.TOTL,Guatemala,GTM,15971743,17103803
"Population, total",SP.POP.TOTL,Guinea,GIN,11767070,13034346
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1786457,1967696
"Population, total",SP.POP.TOTL,Guyana,GUY,758781,807665
"Population, total",SP.POP.TOTL,Haiti,HTI,10523242,11105163
"Population, total",SP.POP.TOTL,Honduras,HND,9237305,9943633
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7291300,7507900
"Population, total",SP.POP.TOTL,Hungary,HUN,9797755,9694824
"Population, total",SP.POP.TOTL,Iceland,ISL,330815,360563
"Population, total",SP.POP.TOTL,India,IND,1328024498,1389030312
"Population, total",SP.POP.TOTL,Indonesia,IDN,261799249,272489381
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,82619362,87051648
"Population, total",SP.POP.TOTL,Iraq,IRQ,37560535,41192171
"Population, total",SP.POP.TOTL,Ireland,IRL,4701957,4976456
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83593,83957
"Population, total",SP.POP.TOTL,Israel,ISR,8380100,9054000
"Population, total",SP.POP.TOTL,Italy,ITA,60229605,59729081
"Population, total",SP.POP.TOTL,Jamaica,JAM,2802534,2823271
"Population, total",SP.POP.TOTL,Japan,JPN,127141000,126633000
"Population, total",SP.POP.TOTL,Jordan,JOR,9544729,10671891
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18084169,19209555
"Population, total",SP.POP.TOTL,Kenya,KEN,47088526,51202827
"Population, total",SP.POP.TOTL,Kiribati,KIR,116815,123921
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25575350,26037632
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51014947,51764822
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788274,1788891
"Population, total",SP.POP.TOTL,Kuwait,KWT,3834574,4442316
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6040036,6590211
